"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"Harrow Road Health Centre","https://www.doctify.com/uk/practice/harrow-road-health-centre","","London, W2 5EH","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Primary Care; Sports & Exercise Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Grand Union Health Centre","https://www.doctify.com/uk/practice/grand-union-health-centre","","London, W2 5EH","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Primary Care; Women's Health","","0","","","","1-2433000105","Dr Judith Tate","","exact","","","","","","","NOT_FOUND","","","","","Dr Judith Tate","","","","","","","","","","","","","unknown","","","","",""
"Ambition Health and Performance Clinic","https://www.doctify.com/uk/practice/ambition-health-and-performance-clinic","","London, SW1V 1EL","Obstetrics & Gynaecology; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Ludgate Clinic","https://www.doctify.com/uk/practice/ludgate-clinic","","London, EC4Y 1DE","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Physiotherapy","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Belsize Health","https://www.doctify.com/uk/practice/belsize-health","","London, NW3 4TG","Chiropractic; General Practice (GP); Health and Social Care; Holistic Therapy; Homeopathy; Mental Health; Nutrition; Obstetrics & Gynaecology; Oncology; Physiotherapy; Women's Health","","0","","","","1-227410073","Dr Azadeh Kiani","Mr Alfonso Contino","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Alfonso Contino","","","","","","","","","","","","","unknown","","","","",""
"The House Partnership","https://www.doctify.com/uk/practice/the-house-partnership","","London, EC1A 2EJ","Endocrinology & Diabetes; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Prime Health Partners","https://www.doctify.com/uk/practice/prime-health-partners","","London, NW3 3NR","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health Screening; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Imperial College London","https://www.doctify.com/uk/practice/imperial-college-london","","London, SW7 2AZ","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Hepatology; Infectious Diseases; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","1-547857861","Dr Mark Daniels","","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Mark Daniels","","","","","","","","","hospital/NHS: ""imperial college""","","","","pre_filtered","","","","",""
"My Wellness Centre","https://www.doctify.com/uk/practice/my-wellness-centre","","London, EC1V 4JS","Acupuncture; Dietetics; General Practice (GP); Holistic Therapy; Obstetrics & Gynaecology; Pain Management; Palliative Medicine; Physiotherapy; Sports & Exercise Medicine; Sports Rehabilitation; Traditional Chinese Medicine","","0","","","","1-24501535779","Dr Samantha Jayne Wood","Dr Samantha Jayne Wood","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Samantha Jayne Wood","","","","","","","","","","","","","unknown","","","","",""
"Astrum Medical","https://www.doctify.com/uk/practice/astrum-medical","","London, SW3 2ND","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics; Physiotherapy","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Keith Burns Associates","https://www.doctify.com/uk/practice/keith-burns-associates-1","","London, EC4V 6DX","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","1-1313565215","","","exact","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"T.C Yeoh And Associates","https://www.doctify.com/uk/practice/tc-yeoh-and-associates","","London, SW10 0HE","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports & Exercise Medicine; Sports Rehabilitation; Women's Health","","0","","","","1-13813038075","Miss Shelly May Martha Higgins","","fuzzy","","","","","","","NOT_FOUND","","","","","Miss Shelly May Martha Higgins","","","","","","","","","","","","","unknown","","","","",""
"HCA GP Centre","https://www.doctify.com/uk/practice/hca-gp-centre","","London, SW1W 8BJ","General Practice (GP); Obstetrics & Gynaecology; Sports & Exercise Medicine; Sports Rehabilitation; Women's Health","","0","","","","1-126955884","Mrs Janene May Madden","Mr John Reay","fuzzy","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","","","","","unknown","","","","",""
"Health Foundry","https://www.doctify.com/uk/practice/health-foundry","","London, SE1 7LL","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Clinic @ Southbank","https://www.doctify.com/uk/practice/the-clinic-at-southbank","","London, SE1 8SS","Chiropractic; Dermatology; Dietetics; General Practice (GP); Health and Social Care; Holistic Therapy; Medical Weight Loss; Mental Health; Nutrition & Diet; Nutritionist; Obstetrics & Gynaecology; Oncology; Oral & Maxillofacial Surgery; Oral Medicine; Physiotherapy; Primary Care; Women's Health","","0","","","","1-9109958895","Dr Lankika Mayoni Byrne","Dr Lankika Mayoni Byrne","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Lankika Mayoni Byrne","","","","","","","","","","","","","unknown","","","","",""
"No8 Partnership","https://www.doctify.com/uk/practice/no8-partnership","","London, SW1W 8BL","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","1-3133210293","Ms Clare Elaine Rudman","","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Clare Elaine Rudman","","","","","","","","","","","","","unknown","","","","",""
"Clinic@Southbank","https://www.doctify.com/uk/practice/clinicsouthbank","","London, SE1 8SS","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Harpal Clinic","https://www.doctify.com/uk/practice/harpal-clinic","","London, EC4V 5DR","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","1-7613399685","Dr Harpal Kaur Bains","Miss Aliyah Ahmed","fuzzy","","","","","","","NOT_FOUND","","","","","Miss Aliyah Ahmed","","","","","","","","","","","","","unknown","","","","",""
"West Fertility Clinical Associates","https://www.doctify.com/uk/practice/west-fertility-clinical-associates","","London, SW1V 4BN","Acupuncture; Dentistry; Fertility Medicine; Obstetrics & Gynaecology; Oral Surgery; Sports & Exercise Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Ms Florence Pasteur","https://www.doctify.com/uk/practice/ms-florence-pasteur","","London, SW3 4UD","General Practice (GP); Obstetrics & Gynaecology; Sports Rehabilitation; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The London Children'S Practice","https://www.doctify.com/uk/practice/the-london-childrens-practice","","London, SW3 4LY","General Practice (GP); Geriatric Medicine; Obstetrics & Gynaecology; Psychology; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Nova Nutridiet","https://www.doctify.com/uk/practice/nova-nutridiet","","London, SE1 8DP","Dietetics; Fertility Medicine; General Practice (GP); Holistic Therapy; Nutrition; Obstetrics & Gynaecology; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Barts & The London Charterhouse Square","https://www.doctify.com/uk/practice/barts-the-london-charterhouse-square","","London, EC1M 6BQ","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Hepatology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Thurloe Street Private Practice","https://www.doctify.com/uk/practice/thurloe-street-private-practice","","London, SW7 2ST","Cardiology; Chiropractic; Dermatology; Dietetics; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Holistic Therapy; Medical Weight Loss; Mental Health; Nutrition & Diet; Nutritionist; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Physiotherapy; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Dr Kuven Moodley - online appointments, new patients only","https://www.doctify.com/uk/practice/gooddoctor","","London, EC1A 9ET","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Physiotherapy; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Artillery House","https://www.doctify.com/uk/practice/artillery-house","","London, SW3 4TQ","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Caversham Practice","https://www.doctify.com/uk/practice/caversham-practice","","London, NW5 2UP","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Sports & Exercise Medicine; Women's Health","","0","","","","1-550896114","Dr Jane Myat","","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Jane Myat","","","","","","","","","","","","","unknown","","","","",""
"ProActive Clinic","https://www.doctify.com/uk/practice/proactive-clinic","","London, SW7 2NA","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Albert Buildings","https://www.doctify.com/uk/practice/albert-buildings","","London, EC4N 4SA","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Paediatric Surgery; Physiotherapy; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Back In Action Physiotherapy","https://www.doctify.com/uk/practice/back-in-action-physiotherapy","","London, NW6 5HZ","Health and Social Care; Obstetrics & Gynaecology; Paediatrics; Physiotherapy; Sports & Exercise Medicine; Sports Injury; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Central And North West London Nhs Foundation Trust","https://www.doctify.com/uk/practice/central-and-north-west-london-nhs-foundation-trust","","London, NW6 5FA","Anaesthetics; Cardiology; Dental Care; Dermatology; Emergency Ophthalmology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); General Surgery; Gynaecology; Hepatology; Infectious Diseases; Obstetrics; Obstetrics & Gynaecology; Oncology; Ophthalmology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Pain Management; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""nhs foundation""","","","","pre_filtered","","","","",""
